Name,Address,Address2,Address3,City,State,Zip,License #,Licensure Date,Expiration Date,Role
APPRAISER SELECT LLC,PO BOX 953513,,,LAKE MARY,FL,32795,1,7/6/2011,11/30/2026,AMC Contact
"CLEARCAPITAL.COM, INC",300 EAST SECOND ST SUITE 1405,,,RENO,NV,89501,45,10/28/2011,11/30/2026,AMC Contact
MURCOR INC,740 CORPORATE CENTER DRIVE,SUITE 100,,POMONA,CA,91768,11,8/16/2011,11/30/2026,AMC Contact
JEDER VALUATION CONSULTANTS INC,244 FIFTH AVENUE SUITE 2007,,,NEW YORK,NY,10001,34,10/12/2011,11/30/2026,AMC Contact
AMC LINKS LLC,2286 W PORTERS POINT COVE,UNIT C,,HERRIMAN,UT,84065,48,11/2/2011,11/30/2026,AMC Contact
SOLIDIFI U S INC,701 SENECA ST SUITE 660,,,BUFFALO,NY,14210,61,12/9/2011,11/30/2026,AMC Contact
SERVICELINK VALUATION SOLUTIONS LLC,1355 CHERRINGTON PKWY,,,MOON TOWNSHIP,PA,15108,116,4/4/2012,11/30/2026,AMC Contact
NATIONWIDE APPRAISAL NETWORK LLC,3180 CURLEW ROAD,SUITE 107,,OLDSMAR,FL,34677,168,9/25/2012,11/30/2026,AMC Contact
RUSH MY APPRAISAL INC,PO BOX 489,,,ELFERS,FL,34680,8,8/3/2011,11/30/2026,AMC Contact
DARTAPPRAISAL.COM INC,2600 WEST BIG BEAVER STE 540,,,TROY,MI,48084,13,8/16/2011,11/30/2026,AMC Contact
NATIONS VALUATION SERVICES INC,9001 W 67TH ST,,,MERRIAM,KS,66202,89,1/18/2012,11/30/2026,AMC Contact
NATIONWIDE PROPERTY & APPRAISAL SERVICES LLC,1103 LAUREL OAK ROAD,SUITE 160,,VOORHEES,NJ,8043,23,9/15/2011,11/30/2026,AMC Contact
PROPERTY SCIENCES GROUP INC,395 TAYLOR BLVD SUITE 250,,,PLEASANT HILL,CA,94523,67,12/13/2011,11/30/2026,AMC Contact
MARKET VALUATION SERVICES LLC,380 DAHLONEGA ST SUITE 205,,,CUMMING,GA,30040,161,8/27/2012,11/30/2026,AMC Contact
NOVO APPRAISAL MANAGEMENT CORPORATION,507 B SAVANNAH HIGHWAY,,,CHARLESTON,SC,29412,108,3/8/2012,11/30/2026,AMC Contact
VALUATION CONNECT LLC,600 CLUBHOUSE DR.,,,MOON TOWNSHIP,PA,15108,38,10/17/2011,11/30/2026,AMC Contact
HOUSE TO HOME SETTLEMENT SERVICES INC,7025 CLAIRTON RD,,,WEST MIFFLIN,PA,15122,78,1/11/2012,11/30/2026,AMC Contact
LENDERVEND LLC,1235 N DUTTON AVE,SUITE E,,SANTA ROSA,CA,95401,60,12/6/2011,11/30/2026,AMC Contact
NIEMI APPRAISAL PLACEMENT INC,PO BOX 223,,,KIMBERLY,WI,54136,36,10/13/2011,11/30/2026,AMC Contact
DIRECTWARE SERVICES LLC,6955 S UNION PK CTR STE 540,,,MIDVALE,UT,84047,68,12/13/2011,11/30/2024,AMC Contact
AMC SETTLEMENT SERVICES LLC,345 ROUSER ROAD,BUILDING 5 SUITE 600,,CORAOPOLIS,PA,15108,126,4/23/2012,11/30/2026,AMC Contact
TRIMAVIN LLC,4 HUTTON CENTRE DR,STE 1025,,SANTA ANA,CA,92707,156,8/20/2012,11/30/2026,AMC Contact
MOMENTUM APPRAISAL MANAGEMENT GROUP INC,12000 STARCREST SUITE 111,,,SAN ANTONIO,TX,78247,119,4/5/2012,11/30/2026,AMC Contact
ALLSTATE APPRAISAL L P,320 W 202ND ST,,,CHICAGO HEIGHTS,IL,60411,50,11/14/2011,11/30/2026,AMC Contact
APPRAISAL LINKS AMC OF FLORIDA INC,861 SILVER LAKE BLVD,SUITE 203,CANNON BUILDING,DOVER,DE,19904-2467,121,4/6/2012,11/30/2026,AMC Contact
"STEWART VALUATION INTELLIGENCE, LLC",1360 Post Oa 1360 POST OAK BLVD. STE 100,,,HOUSTON,TX,77056,73,12/27/2011,11/30/2026,AMC Contact
SPRINGHOUSE APPRAISAL MANAGEMENT LLC,7730 MARKET SUITE 100,,,EL PASO,TX,79912,69,12/14/2011,11/30/2026,AMC Contact
JORDAN REAL ESTATE GROUP INC,3415 SUNSET AVENUE,,,OCEAN,NJ,7712,28,10/3/2011,11/30/2026,AMC Contact
FINANCIAL ASSET SERVICES INC,17752 MITCHELL N STE A,,,IRVINE,CA,92614,91,1/19/2012,11/30/2026,AMC Contact
TRIDENT SERVICES LLC,"875 OLD ROSWELL RD, G300",,,ROSWELL,GA,30076,92,1/19/2012,11/30/2026,AMC Contact
BROADSTREET VALUATIONS INC,211 ELM STREET,,,HOLLY,MI,48442,44,10/25/2011,11/30/2026,AMC Contact
EQUITY VALUATION PARTNERS INC,82 PLANTATION POINT,SUITE 213,,FAIRHOPE,AL,36532,39,10/18/2011,11/30/2026,AMC Contact
VALUTRUST SOLUTIONS LLC,12909 SW 68TH PWY SUITE 350,,,PORTLAND,OR,97223,46,11/1/2011,11/30/2026,AMC Contact
U S REAL ESTATE SERVICES INC,27442 PORTOLA PKWY #300,,,FOOTHILL RANCH,CA,92610,32,10/11/2011,11/30/2026,AMC Contact
LOOKINGGLASS.CC LTD,100 NORTH MILLER ROAD,,,FAIRLAWN,OH,44333,95,1/31/2012,11/30/2026,AMC Contact
COLLATERAL EVALUATION SERVICES LLC,590 COLONIAL PARK DR,,,"ROSWELL, GA",GA,30075,53,11/14/2011,11/30/2026,AMC Contact
RADIAN VALUATION SERVICES LLC,1000 GSK DRIVE SUITE 210,,,CORAOPOLIS,PA,15108,85,1/17/2012,11/30/2026,AMC Contact
FLORIDA REAL ESTATE ADVISORS INC,140 IMPERIAL STREET,,,MERRITT ISLAND,FL,32952,98,2/6/2012,11/30/2026,AMC Contact
APPRAISAL NATION LLC,500 GREGSON DRIVE SUITE 120,,,CARY,NC,27511,70,12/20/2011,11/30/2026,AMC Contact
AXIS APPRAISAL MANAGEMENT SOLUTIONS INC,"1101 FIFTH AVENUE, SUITE 210",,,SAN RAFAEL,CA,94901,120,4/5/2012,11/30/2026,AMC Contact
INTEGRATION 4.0 INC,800 S GAY ST,,,KNOXVILLE,TN,37929,99,2/6/2012,11/30/2026,AMC Contact
URES INC,201 MARPLE AVENUE,,,CLIFTON HEIGHTS,PA,19018,56,11/29/2011,11/30/2026,AMC Contact
APPRAISAL MANAGEMENT SPECIALISTS LLC,W1225 COUNTY RD J,,,MUKWONAGO,WI,53149,59,12/5/2011,11/30/2026,AMC Contact
CONSOLIDATED ANALYTICS INC,1 MACARTHUR PLACE,SUITE 100,,SANTA ANA,CA,92707,62,12/9/2011,11/30/2024,AMC Contact
ELECTRONIC APPRAISAL SOLUTIONS INC,3017 DOUGLAS BLVD ST 300,,,ROSEVILLE,CA,95661,132,5/21/2012,11/30/2026,AMC Contact
EQUITY SOLUTIONS USA INC,6304 ORCHARD LAKE ROAD,,,WEST BLOOMFIELD,MI,48322,124,4/12/2012,11/30/2026,AMC Contact
NATIONALLINK VALUATIONS LLC,1000 COMMERCE DRIVE SUITE 300,,,PITTSBURGH,PA,15275,112,3/16/2012,11/30/2026,AMC Contact
SAMCO APPRAISAL MANAGEMENT COMPANY LLC,243 FORT JEFFERSON AVE.,,,GREENVILLE,OH,45331,106,3/6/2012,11/30/2026,AMC Contact
ACT APPRAISAL INC,1141 EAST MAIN ST SUITE 102,,,EAST DUNDEE,IL,60118,107,3/8/2012,11/30/2026,AMC Contact
APPRAISAL LINX INC,175 N. WASHINGTON STREET,UNIT #1,,WHEATON,IL,60187,115,4/3/2012,11/30/2026,AMC Contact
ACCURATE TITLE GROUP LLC,6000 FREEDOM SQUARE SUITE 300,,,INDEPENDENCE,OH,44131,134,6/1/2012,11/30/2024,AMC Contact
MIDWEST APPRAISAL MANAGEMENT GROUP,2050 CELADON DR NE,SUITE C,,GRAND RAPIDS,MI,49525,190,1/31/2013,11/30/2026,AMC Contact
NDA VALUATIONS LLC,3913 W NORTH B ST,,W. NORTH B STREET,TAMPA,FL,33609,75,1/3/2012,11/30/2026,AMC Contact
INTERNATIONAL VALUATION GROUP LLC,600 W BROADWAY,SUITE 950,,SAN DIEGO,CA,92101,90,1/19/2012,11/30/2026,AMC Contact
TENNESSEE APPRAISAL MANAGEMENT LLC,PO BOX 339,,,ARRINGTON,TN,37014,123,4/11/2012,11/30/2026,AMC Contact
LENDERS ALLIES LLC,3030 N ROCKY POINT DR W 150,,,TAMPA,FL,33607,158,8/20/2012,11/30/2026,AMC Contact
EVALUATION ZONE INC,6103 W MONTROSE AVE,,,CHICAGO,IL,60634,151,7/27/2012,11/30/2026,AMC Contact
APPRAISAL MANAGEMENT RESOURCES LLC,185 CARDNELL RD,,,BOSSIER CITY,LA,71111,145,6/28/2012,11/30/2026,AMC Contact
APPRAISERVENDOR.COM LLC,"107 N. STATE ROAD 135, SUITE 108",,,GREENWOOD,IN,46142,152,7/30/2012,11/30/2026,AMC Contact
PROPERTYRATE LLC,1855 W KATELLA AVE,SUITE 100,,ORANGE,CA,92867,208,6/20/2013,11/30/2026,AMC Contact
AAA APPRAISAL MANAGEMENT COMPANY LLC,"2764 LAKE SAHARA DR., STE 111",,,LAS VEGAS,NV,89117,177,10/30/2012,11/30/2026,AMC Contact
E STREET APPRAISAL MANAGEMENT LLC,6041 WALLACE ROAD EXTENSION 210,,,WEXFORD,PA,15090,186,12/10/2012,11/30/2026,AMC Contact
NATIONAL REAL ESTATE INFORMATION SERVICES OF ALABAMA INC,2880 CRESTWOOD BLVD,,,BIRMINGHAM,AL,35210,174,10/12/2012,11/30/2024,AMC Contact
BRIDGE APPRAISAL MANAGEMENT CORP,602 HIGGINS AVE,STE 1 308,,BRIELLE,NJ,8730,188,1/7/2013,11/30/2026,AMC Contact
CENTRAL STATE APPRAISAL SERVICES LLC,1700 MAIN STREET SUITE 5,,,LAKE COMO,NJ,7719,195,3/18/2013,11/30/2026,AMC Contact
ABSOLUTE VALUE MANAGEMENT CORP,1 LINCOLN STREET,SUITE 2900,,BOSTON,MA,2111,220,9/3/2013,11/30/2024,AMC Contact
CORPORATE SETTLEMENT SOLUTIONS LLC,25221 COUNTRY CLUB BLVD STE# 235,,,NORTH OLMSTED,OH,44070,191,3/5/2013,11/30/2026,AMC Contact
CORE VALUATION MANAGEMENT INC,420 EXCHANGE,#270,,IRVINE,CA,92602,204,5/28/2013,11/30/2026,AMC Contact
APPRAISAL HUB LLC,115 LINCOLN ROAD,,,WALPOLE,MA,2081,193,3/11/2013,11/30/2026,AMC Contact
HOME BASE APPRAISAL MANAGEMENT LLC,13894 SOUTH BANGERTER PARKWAY,SUITE 200,,DRAPER,UT,84020,197,4/12/2013,11/30/2026,AMC Contact
MOUNTAINSEED APPRAISAL MANAGEMENT LLC,2100 POWERS FERRY RD SE STE 300,,,ATLANT,GA,30339,194,3/18/2013,11/30/2026,AMC Contact
"RBH APPRAISAL MANAGEMENT, LLC",10370 RICHMOND AVENUE,SUITE 900,,HOUSTON,TX,77042,199,4/19/2013,11/30/2026,AMC Contact
NADLAN VALUATION INC,129 NORTH COUNTY LINE 252,,,JACKSON,NJ,8527,206,6/11/2013,11/30/2026,AMC Contact
HKB NET LLC,3904 E POWELL WAY,,,GILBERT,AZ,85298,207,6/19/2013,11/30/2026,AMC Contact
FIRST LOOK APPRAISALS LLC,1 E WACKER DRIVE,STE 2900,,CHICAGO,IL,60601,211,7/8/2013,11/30/2024,AMC Contact
@ HOME VMS,77 VAN NESS AVE STE 101,,,SAN FRANCISCO,CA,94102,218,8/20/2013,11/30/2026,AMC Contact
1ST NATIONAL APPRAISAL SOURCE INC,39555 ORCHARD HILLS PL STE 600,,,NOVI,MI,48375,217,8/20/2013,11/30/2026,AMC Contact
NORMAN HUBBARD & ASSOCIATES INC,690 NORTH BROADWAY SUITE 102,,,WHITE PLAINS,NY,10603,215,8/9/2013,11/30/2026,AMC Contact
CHANGE AMC LLC,17351 W SUNSET BLVD STE 1C,,,PACIFIC PALISADES,CA,90272,245,3/6/2014,11/30/2026,AMC Contact
NATIONWIDE VALUATION SOLUTIONS LLC,77 MILFORD DR #278,,,HUDSON,OH,44236,225,9/23/2013,11/30/2026,AMC Contact
FRISCO LENDER SERVICES LLC,"12820 COLDWATER ROAD, SUITE C",,,FORT WAYNE,IN,46845,233,10/31/2013,11/30/2026,AMC Contact
TIMIOS APPRAISAL MANAGEMENT INC,5716 CORSA AVE,S,,WESTLAKE VILLAGE,CA,91362,231,10/24/2013,11/30/2026,AMC Contact
KARIS MANAGEMENT GROUP LLC,7422 CARMEL EXECUTIVE PARK DR,SUITE 109,,CHARLOTTE,NC,28226,232,10/25/2013,11/30/2026,AMC Contact
MORTGAGE MANAGEMENT CONSULTING INC,"194 WOOD AVE SOUTH, 9TH FL SUITE 1",,,ISELIN,NJ,8830,246,3/11/2014,11/30/2024,AMC Contact
ABF REAL ESTATE INC,13 VIA JUBILAR,,,SAN CLEMENTE,CA,92673,236,11/19/2013,11/30/2026,AMC Contact
FIDELITY RESIDENTIAL SOLUTIONS INC,125 WEST STREET SUITE 200,,,ANNAPOLIS,MD,21401,243,2/11/2014,11/30/2026,AMC Contact
VANDALAY INDUSTRIES,4263 TIERRA REJADA RD STE 112,,,MOORPARK,CA,93021,247,3/12/2014,11/30/2026,AMC Contact
APPRAISAL PROCESS SYSTEMS INC,10 CROSSINGS BLVD,,,BLUFFTON,SC,29910,252,5/28/2014,11/30/2026,AMC Contact
"MYAMC, LLC",14801 QUORUM DRIVE,SUITE 260,,DALLAS,TX,75254,258,6/30/2014,11/30/2026,AMC Contact
LOGICAL APPRAISAL MANAGEMENT COMPANY LLC,PO BOX 6286,,,LAKELAND,FL,33807,262,8/11/2014,11/30/2026,AMC Contact
SOUTHEAST FL REAL ESTATE APPRAISAL CO,811 N 20TH COURT,,,HOLLYWPPD,FL,33020,253,6/3/2014,11/30/2026,AMC Contact
K & M TITLE LLC,1121 W. PRICE BLVD,#1086,,NORTH PORT,FL,34288,251,5/2/2014,11/30/2026,AMC Contact
HOME VALUE REAL ESTATE LLC,11332 86TH AVE N,,,MAPLE GROVE,MN,55369,257,6/26/2014,11/30/2026,AMC Contact
FIRST AMERICAN MORTGAGE SOLUTIONS LLC,4 FIRST AMERICAN WAY 4TH FLOOR,LEGAL DEPARTMENT,,SANTA ANA,CA,92707,264,8/18/2014,11/30/2026,AMC Contact
CUSHMAN & WAKEFIELD GLOBAL SERVICES INC,175 BROADHOLLOW ROAD SUITE 235,,,MELVILLE,NY,11747,274,11/13/2014,11/30/2026,AMC Contact
HEARTLAND VALUATION SERVICE LLC,2139 TAPO ST 220,,,SIMI VALLEY,CA,93063,270,10/29/2014,11/30/2026,AMC Contact
